store_name,url,instagram
데일리먼데이,www.dailymonday.com,no_instagram
페미니크,www.feminique.kr,feminique_kj
로즈베이,www.therosebay.co.kr,"pekomom,loverosebay_official"
아이스크림12,www.icecream12.com,icecream12_official
라라봉,www.lalabong.co.kr,lalabong_insta
샵밥닷컴,www.shopbop.com,shopbop
리얼코코,www.realcoco.com,realcoco_official
모모의옷장,www.momodays.com,no_instagram
박남매,www.pak-namae.com,paknamae
미니앤유,www.miniandyou.co.kr,miniandyou_
써니러브,www.sunnylove.co.kr,no_instagram
훈자야,www.hoonjaya.com,hoonjaya_official
세즈윅,www.sezwick.com,sezwick
고로케샵,www.goroke.co.kr,goroke_shop
제이유퍼,www.jufur.com,no_instagram
케이리,www.kayleeshop.com,kaylee530
인디브랜드,www.indibrand.co.kr,indibrand_official
퓨어다,www.pureda.co.kr,pureda_official
위 아 히얼,www.wearehere.co.kr,wearehere7
앤드스타일,www.andstyle.co.kr,andstyle.co.kr
미니뽕,www.minibbong.co.kr,minibbong_
비바문,www.vivamoon.co.kr,no_instagram
팜므뮤즈,www.femmemuse.co.kr,femmemuse_official
마담그레이스,www.madamgrace.com,madamgrace__official
바비수,www.babi-su.com,can not load
써니,www.ssunny.co.kr,ilovessunny
가내스라,www.ganaesra.com,ganaesra
로즐리,www.rozley.co.kr,by_rozley
라룸,www.la-room.kr,la__room
나무그림,www.na-mu.co.kr,the_namugrim
에이와비,www.awab.co.kr,awab1225
비비드윤,www.vividyoon.co.kr,no_instagram
불량소녀,www.bullang.com,bullanggirl
데이엘,www.dayel.kr,no_instagram
에바주니,www.evajunie.com,"me,evajunie_official"
어나더랭귀지,www.another-language.com,"anotherlanguage_official,id5agit"
오픈잇히어,www.openithere.com,opihr
캔디글로우,www.candyglow.co.kr,candyglow.co.kr
메종드노리타,www.masion-de-nolita.co.kr,de_nolita
리브어리,www.liveary.com,liveary_official
체리빌레,www.cherryville.co.kr,cherryville__
비피샵,www.bp-shop.co.kr,wanna_bp
디얼마미,www.dearmami.co.kr,dearmami4060
얀새,www.yansae.com,yansae_official
나이스홍,www.nicehong.com,nicehong_
비비드플랜,www.vividplan.co.kr,vividplan_jin
채버블,www.chaebubble.com,"chaebubble_official,chaebubble"
그녀처럼,www.likeher.kr,no_instagram
제이콜링,www.j-calling.com,no_instagram
플랜제이,www.planj.co.kr,planj_kr
코코호야,www.cocohoya.com,no_instagram
어반로지,www.urban-rosy.com,urbanrosy.daily
나는예쁘다,www.iampretty.tv,"iampretty_official,iampretty.tv"
오프위,www.opwee.co.kr,"frankenmono,opwee_shop"
럭스위즈,www.luxwiz.com,theluxwiz
오제이럭셔리,www.ojluxury.com,"ojluxury_com,ojluxury_official"
모어글렌,www.moreglen.co.kr,no_instagram
오버듀플레어,www.overdueflair.com,overdueflair_official
단순한부띠끄,www.simpleboutique.co.kr,simpleboutique_official
크러시제이,www.crushj.com,crushj_yeon
버튼오프,www.buttonoff.co.kr,moonguiyoung
러브미우,www.luvmiu.com,love_boki
에스더스타일,www.esther-st.co.kr,no_instagram
톰앤래빗,www.tomnrabbit.co.kr,no_instagram
믹스엑스믹스,www.mixxmix.com,mixxmix_seoul
헬로우스위티,www.hellosweety.co.kr,hellosweety_korea
봉자샵,www.bongjashop.com,no_instagram
럽제이,www.luvj.co.kr,__jihyang_
룩넌,www.looknone.co.kr,looknone.kr
쵸퍼,www.choper.kr,"choper_hyuneui,choper.kr"
쇼퍼랜드,www.shopperland.co.kr,shopperland_official
아이엠추다,www.iamchudo.kr,comme.toi_
스타일티바,www.styletiba.com,styletiba
위드마리,www.withmari.co.kr,withmari_official
루노,www.runo.co.kr,runo99
매니매니모드,www.manymanymode.com,roobora
올드미키,www.oldmickey.com,oldmickeycom
도시그리고여자,www.citynwoman.com,ssong_valentine
신난데이,www.sinnanday.com,sinnanday_com
윙크넷,www.wingk.net,no_instagram
피오나,www.myfiona.co.kr,myfiona.co.kr
블링샵,www.blingshop.co.kr,blingshop_official
오뚜레,www.ottore.co.kr,can not load
어나더제이,www.another-j.com,aj_mansion
트왕,www.twang.co.kr,twang.co.kr
본지샵,www.bonzishop.com,BONZISHOP
언니옷,www.unnilook.co.kr,no_instagram
더웨이,www.the-way.co.kr,thewaynine
노블밍크,www.noblemink.com,noblemink
쉐르티,www.cherty.co.kr,no_instagram
달솜,www.dal-som.com,"dal.som_02,dalsom_official"
스키니피그,www.skinnypig.co.kr,lovelyskinnypig
패션워크,www.fashion-work.co.kr,fashionwork_official
업다운샵,www.updownshop.com,updownshop_official
에린,www.e-rin.co.kr,e_rin2
피치프라이데이,www.peachpicnic.com,no_instagram
고걸,www.gogirl.co.kr,HYO_82
코디쉬,www.codishe.com,no_instagram
여니샵,www.dusltiq.com,dusltiq11
커버샷,www.covershot.kr,"covershot_official,wisa.co.kr"
막스앤시크,www.maxnchic.com,no_instagram
어게인바이,www.againby.com,againby_kor
라밤바룸,www.labambaroom.com,no_instagram
큐큐,www.qq.co.kr,no_instagram
쉬즈마담,www.shesmadam.com,shesmadam
러빈잇,www.lovin-it.co.kr,lovinit_o
바비로렌,www.babirolen.com,babirolen_mongu
메리엣,www.merryat.com,merry_at_
오어유,www.or-u.co.kr,"oru.house,oru.house "
포니지엔느,www.ponyzn.com,HYUNPAAK
인더모드,www.in-themode.com,inthemode_
애즈핏,www.as-fit.co.kr,"as.fit,asfit_dohee"
나나진,www.nanajean.co.kr,_nanajean
요즘에,www.yozme.co.kr,no_instagram
끌로드마농,www.chlodmanon.com,"chlo.d.manon,chlo.d.manon_review"
이노빌,www.innovill.com,innovillst
쥬시팍시,www.jucifaci.com,jucifaci_
에브리모닝,www.everymorning.co.kr,_every.morning
봉봉부띠끄,www.bongbong-boutique.com,bongbong.boutique
문달,www.moondal.com,moondal_official
크레이지걸스,www.crazygirls.co.kr,crazygirls_korea
