store_name,age,info,url,instagram,sta1_shop_url
나나살롱,"20대,30대","모던시크,페미닌",http://www.nanasalon.com/,nana.haejin,https://www.sta1.com/shops/1714?shopType=S&gndr=F
스모키앨리스,30대,"모던시크,심플베이직",http://www.smokyalice.com/,smokyalice_com,https://www.sta1.com/shops/190?shopType=S&gndr=F
미니뽕,20대,"러블리,모던시크",http://www.minibbong.co.kr/,minibbong_,https://www.sta1.com/shops/42?shopType=S&gndr=F
스타일온미,30대,"럭셔리·명품,페미닌",http://www.styleonme.com/,styleonme_official,https://www.sta1.com/shops/110?shopType=S&gndr=F
핑크시슬리,"20대,30대","빅사이즈,심플베이직",http://www.pinksisly.com/,pinksisly,https://www.sta1.com/shops/1051?shopType=S&gndr=F
올슨,20대,"유니크,심플베이직",http://www.olssen.co.kr/,no_instagram,https://www.sta1.com/shops/55?shopType=S&gndr=F
불량소녀,10대,십대쇼핑몰,http://www.bullang.com/,bullanggirl,https://www.sta1.com/shops/607?shopType=S&gndr=F
소녀레시피,10대,십대쇼핑몰,http://www.recipeofgirl.com/,girls_recipe_,https://www.sta1.com/shops/2921?shopType=S&gndr=F
퓨어다,20대,"러블리,심플베이직",http://www.pureda.co.kr,pureda12,https://www.sta1.com/shops/1424?shopType=S&gndr=F
구룸,"20대,30대","모던시크,유니크",http://www.9-room.com/,"9room_dajin,gudajin",https://www.sta1.com/shops/2574?shopType=S&gndr=F
더무드,"20대,30대","모던시크,페미닌",http://www.themood.co.kr,themood_official,https://www.sta1.com/shops/2688?shopType=S&gndr=F
오픈케이지,"20대,30대","럭셔리·명품,페미닌",http://opencage.co.kr/,rubyjee,https://www.sta1.com/shops/2691?shopType=S&gndr=F
피핀,30대,"미시스타일,심플베이직",http://www.pippin.co.kr,"pippin_co_kr,pippin_official",https://www.sta1.com/shops/990?shopType=S&gndr=F
마이바니,20대,"러블리,섹시",http://www.mybany.com/,xxjominxx,https://www.sta1.com/shops/976?shopType=S&gndr=F
리얼옐로우,"10대,20대,30대","십대쇼핑몰,심플베이직",http://www.realyellow.co.kr/,hyonii.realyellow,https://www.sta1.com/shops/2917?shopType=S&gndr=F
루노,30대,"미시스타일,심플베이직",http://www.runo.co.kr/,runo99,https://www.sta1.com/shops/3165?shopType=S&gndr=F
강자매,"20대,30대","모던시크,유니크",http://kangsister.com/,bbu___,https://www.sta1.com/shops/4390?shopType=S&gndr=F
소임,"20대,30대","빅사이즈,심플베이직",http://soim.co.kr,soim_korea,https://www.sta1.com/shops/2876?shopType=S&gndr=F
더카라,30대,"미시스타일,빅사이즈",http://www.thecara.co.kr/,no_instagram,https://www.sta1.com/shops/2737?shopType=S&gndr=F
쉬비치,"20대,30대",커플룩·비치룩,http://www.shebeach.co.kr/,shebeach8,https://www.sta1.com/shops/1382?shopType=S&gndr=F
마랑,"20대,30대","모던시크,심플베이직",http://marant.kr,mymarant,https://www.sta1.com/shops/21?shopType=S&gndr=F
모노바비,"10대,20대,30대",슈즈,http://www.mediacategory.com/servlet/drc,no_instagram,https://www.sta1.com/shops/870?shopType=S&gndr=F
윙블링,"10대,20대,30대",쥬얼리,http://www.wingbling.co.kr/,wingbling_korea,https://www.sta1.com/shops/2755?shopType=S&gndr=F
세즈윅,"20대,30대","럭셔리·명품,모던시크",http://www.sezwick.com,sezwick,https://www.sta1.com/shops/2679?shopType=S&gndr=F
바온,10대,십대쇼핑몰,http://www.ba-on.com,"o.seo,ba_on",https://www.sta1.com/shops/3140?shopType=S&gndr=F
매그제이,"20대,30대","모던시크,페미닌",http://magjay.com/,magjay_fashion,https://www.sta1.com/shops/382?shopType=S&gndr=F
라밤바룸,30대,"럭셔리·명품,미시스타일",http://www.labambaroom.com/,no_instagram,https://www.sta1.com/shops/1210?shopType=S&gndr=F
시크폭스,30대,"미시스타일,심플베이직",http://www.chicfox.co.kr,chicfox_v,https://www.sta1.com/shops/1055?shopType=S&gndr=F
세컨에디션,20대,"러블리,심플베이직",http://www.second-edition.co.kr,second_edition_,https://www.sta1.com/shops/3170?shopType=S&gndr=F
쇼룸,30대,"럭셔리·명품,미시스타일",http://sroom.co.kr,no_instagram,https://www.sta1.com/shops/163?shopType=S&gndr=F
어페리피트,"20대,30대","러블리,모던시크",http://www.afairyfit.com,MANGDOO_NOONA,https://www.sta1.com/shops/2661?shopType=S&gndr=F
버튼오프,20대,"유니크,심플베이직",http://www.buttonoff.co.kr,moonguiyoung,https://www.sta1.com/shops/1340?shopType=S&gndr=F
아나이스,30대,"럭셔리·명품,미시스타일",http://anais.co.kr,anais_co_kr,https://www.sta1.com/shops/786?shopType=S&gndr=F
디그,"20대,30대","럭셔리·명품,미시스타일",http://www.digue.com,digue.vase,https://www.sta1.com/shops/1074?shopType=S&gndr=F
어리틀빗,10대,십대쇼핑몰,http://www.alittle-b.com/,_alittlebeat,https://www.sta1.com/shops/2923?shopType=S&gndr=F
이쁜걸,30대,"모던시크,미시스타일",http://www.ippngirl.co.kr/,ippngirl8,https://www.sta1.com/shops/1295?shopType=S&gndr=F
더잠,"10대,20대,30대",언더웨어,http://thezam.co.kr,thezam_official,https://www.sta1.com/shops/1861?shopType=S&gndr=F
시크드,30대,"럭셔리·명품,미시스타일",http://www.chic-de.com/,no_instagram,https://www.sta1.com/shops/3145?shopType=S&gndr=F
러블랭,"10대,20대","십대쇼핑몰,패션잡화",http://belin.co.kr,lovelin.offical,https://www.sta1.com/shops/4417?shopType=S&gndr=F
언니옷,"10대,20대","십대쇼핑몰,심플베이직",http://unnilook.co.kr,unnilook,https://www.sta1.com/shops/2741?shopType=S&gndr=F
에이인,"10대,20대","십대쇼핑몰,심플베이직",http://www.a-in.kr,ain_hawaii,https://www.sta1.com/shops/1879?shopType=S&gndr=F
썸데이즈,"10대,20대","러블리,십대쇼핑몰",http://ssomedays.com,"somedays_store,someday__s",https://www.sta1.com/shops/3148?shopType=S&gndr=F
쏭바이쏭,"20대,30대","모던시크,심플베이직",http://www.ssongbyssong.com,"ssongbyssong_story,ssongunni",https://www.sta1.com/shops/1363?shopType=S&gndr=F
오핀,30대,"미시스타일,심플베이직",http://www.opin.co.kr/,jayoung_c,https://www.sta1.com/shops/132?shopType=S&gndr=F
렌느,"20대,30대","모던시크,페미닌",http://reine.co.kr,daisybyy,https://www.sta1.com/shops/2683?shopType=S&gndr=F
고고비치,"10대,20대,30대",커플룩·비치룩,http://www.gogobeach.co.kr/,gogobeach,https://www.sta1.com/shops/483?shopType=S&gndr=F
도시그리고여자,"20대,30대","럭셔리·명품,페미닌",http://www.citynwoman.com/,ssong_valentine,https://www.sta1.com/shops/2758?shopType=S&gndr=F
어나더제이,"20대,30대","모던시크,심플베이직",http://www.another-j.com/,aj_mansion,https://www.sta1.com/shops/99?shopType=S&gndr=F
룩걸,"20대,30대","러블리,페미닌",http://www.lookgirl.co.kr,jjumiya,https://www.sta1.com/shops/1365?shopType=S&gndr=F
금단추,30대,"미시스타일,심플베이직",http://www.goldbutton.co.kr/,baekmiinah,https://www.sta1.com/shops/2908?shopType=S&gndr=F
어게인바이,"20대,30대","모던시크,심플베이직",http://www.againby.com,againby_kor,https://www.sta1.com/shops/1018?shopType=S&gndr=F
시크라인,30대,"럭셔리·명품,페미닌",http://chic-line.com/,ko.chicline,https://www.sta1.com/shops/2772?shopType=S&gndr=F
도로시와,"10대,20대,30대","언더웨어,커플룩·비치룩",http://www.dorosiwa.co.kr/,dorosiwa,https://www.sta1.com/shops/2654?shopType=S&gndr=F
위아히얼,30대,"유니크,미시스타일",http://www.wearehere.co.kr/,wearehere7,https://www.sta1.com/shops/96?shopType=S&gndr=F
프롬데이원,20대,"러블리,모던시크",http://www.fromdayone.co.kr/,wonyhellow,https://www.sta1.com/shops/3163?shopType=S&gndr=F
큐니걸스,"10대,20대","러블리,심플베이직",http://www.qng.co.kr,qnistagram,https://www.sta1.com/shops/1103?shopType=S&gndr=F
고걸,"20대,30대","럭셔리·명품,페미닌",http://gogirl.co.kr,no_instagram,https://www.sta1.com/shops/1120?shopType=S&gndr=F
안나리치,30대,"미시스타일,심플베이직",http://www.annarich.co.kr/,boutique_de_ar,https://www.sta1.com/shops/1467?shopType=S&gndr=F
매니매니모드,10대,십대쇼핑몰,http://www.manymanymode.com,roobora,https://www.sta1.com/shops/1064?shopType=S&gndr=F
블루팝스,20대,"모던시크,유니크",http://www.bluepops.co.kr/,bluepops_official,https://www.sta1.com/shops/1240?shopType=S&gndr=F
리지랄닷컴,"20대,30대","럭셔리·명품,페미닌",http://www.leejiral.com/,leejiral,https://www.sta1.com/shops/79?shopType=S&gndr=F
